"MMM YYYY","USD/JPY","CAD/JPY","EUR/JPY","GBP/JPY","CHF/JPY","AUD/JPY","HKD/JPY","NZD/JPY","KRW/JPY","MXN/JPY"
"Nov-2008",0.0103230,0.0125800,0.0080978,0.0067423,0.0123041,0.0156873,0.080013,0.018302,14.4926,0.135560
"Dec-2008",0.0109541,0.0135200,0.0081341,0.0073732,0.0125212,0.0163254,0.084901,0.019625,14.9550,0.147030
"Jan-2009",0.0110912,0.0136048,0.0083833,0.0076788,0.0125020,0.0164628,0.086030,0.020218,15.0507,0.154115
"Feb-2009",0.0107775,0.0134170,0.0084231,0.0074783,0.0125447,0.0165802,0.083564,0.020900,15.5114,0.157347
"Mar-2009",0.0102194,0.0129214,0.0078368,0.0072149,0.0118086,0.0153523,0.079233,0.019218,14.8418,0.149726
"Apr-2009",0.0101158,0.0123814,0.0076644,0.0068755,0.0116103,0.0141387,0.078399,0.017685,13.4927,0.135782
"May-2009",0.0103560,0.0119160,0.0075763,0.0067068,0.0114505,0.0135270,0.080269,0.017196,12.9971,0.136621
"Jun-2009",0.0103502,0.0116609,0.0073862,0.0063242,0.0111884,0.0129014,0.080220,0.016215,13.0692,0.138105
"Jul-2009",0.0106094,0.0119068,0.0075336,0.0064822,0.0114439,0.0131968,0.082225,0.016477,13.3883,0.141943
"Aug-2009",0.0105399,0.0114700,0.0073912,0.0063839,0.0112631,0.0126214,0.081691,0.015569,13.0792,0.137073
"Sep-2009",0.0109562,0.0118514,0.0075178,0.0067146,0.0113843,0.0127100,0.084914,0.015557,13.2867,0.146921
"Oct-2009",0.0110673,0.0116743,0.0074687,0.0068299,0.0113050,0.0122141,0.085771,0.014993,13.0023,0.146432
"Nov-2009",0.0112222,0.0118905,0.0075260,0.0067640,0.0113648,0.0122106,0.086972,0.015396,13.0552,0.147083
"Dec-2009",0.0111297,0.0117352,0.0076303,0.0068551,0.0114619,0.0123297,0.086284,0.015522,12.9617,0.143122
"Jan-2010",0.0109813,0.0114540,0.0076965,0.0067941,0.0113550,0.0120271,0.085243,0.015116,12.4987,0.140597
"Feb-2010",0.0110939,0.0117250,0.0081130,0.0071045,0.0118993,0.0125268,0.086170,0.015915,12.8294,0.143579
"Mar-2010",0.0110242,0.0112783,0.0081242,0.0073215,0.0117594,0.0120862,0.085563,0.015672,12.5283,0.138575
"Apr-2010",0.0107033,0.0107576,0.0079808,0.0069797,0.0114452,0.0115538,0.083087,0.015027,11.9386,0.131005
"May-2010",0.0108693,0.0113060,0.0086628,0.0074128,0.0122814,0.0124951,0.084622,0.015587,12.6663,0.138358
"Jun-2010",0.0110110,0.0114291,0.0090097,0.0074580,0.0123901,0.0129033,0.085756,0.015907,13.3757,0.139993
"Jul-2010",0.0114263,0.0119143,0.0089197,0.0074689,0.0120319,0.0130172,0.088845,0.016003,13.7579,0.146390
"Aug-2010",0.0117193,0.0122052,0.0090952,0.0074905,0.0121751,0.0130295,0.091069,0.016419,13.8381,0.149741
"Sep-2010",0.0118549,0.0122471,0.0090529,0.0076053,0.0118588,0.0126196,0.092049,0.016268,13.7694,0.151732
"Oct-2010",0.0122355,0.0124555,0.0088023,0.0077122,0.0118546,0.0124637,0.094928,0.016272,13.7362,0.152209
"Nov-2010",0.0121122,0.0122662,0.0088815,0.0075936,0.0119340,0.0122550,0.093931,0.015697,13.6995,0.149461
"Dec-2010",0.0120070,0.0120995,0.0090742,0.0076935,0.0116236,0.0120861,0.093336,0.015964,13.7527,0.148764
"Jan-2011",0.0120943,0.0120200,0.0090512,0.0076546,0.0115887,0.0121569,0.094106,0.015801,13.5345,0.146556
"Feb-2011",0.0121123,0.0119615,0.0088695,0.0075099,0.0115042,0.0120117,0.094349,0.015899,13.5449,0.146142
"Mar-2011",0.0122486,0.0119626,0.0087375,0.0075809,0.0112514,0.0121158,0.095437,0.016507,13.7226,0.146960
"Apr-2011",0.0120145,0.0115120,0.0083121,0.0073386,0.0107839,0.0113566,0.093377,0.015235,13.0286,0.140704
"May-2011",0.0123324,0.0119371,0.0085984,0.0075440,0.0107628,0.0115450,0.095880,0.015474,13.3669,0.143665
"Jun-2011",0.0124332,0.0121441,0.0086336,0.0076668,0.0104455,0.0117125,0.096797,0.015246,13.4393,0.146796
"Jul-2011",0.0126228,0.0120575,0.0088435,0.0078120,0.0103676,0.0117110,0.098325,0.014887,13.3523,0.147345
"Aug-2011",0.0129924,0.0127695,0.0090616,0.0079423,0.0101361,0.0123989,0.101302,0.015545,13.9707,0.159295
"Sep-2011",0.0130213,0.0130557,0.0094756,0.0082587,0.0114180,0.0127555,0.101496,0.016057,14.6177,0.170145
"Oct-2011",0.0130477,0.0133060,0.0095046,0.0082767,0.0116896,0.0128479,0.101482,0.016503,15.0181,0.175352
"Nov-2011",0.0128958,0.0132290,0.0095210,0.0081679,0.0117168,0.0127835,0.100355,0.016764,14.6361,0.176924
"Dec-2011",0.0128529,0.0131585,0.0097700,0.0082487,0.0119970,0.0127030,0.099959,0.016701,14.7586,0.176940
"Jan-2012",0.0129944,0.0131667,0.0100761,0.0083765,0.0121950,0.0124844,0.100873,0.016225,14.8347,0.174020
"Feb-2012",0.0127393,0.0126952,0.0096237,0.0080602,0.0116169,0.0118682,0.098788,0.015254,14.3050,0.162739
"Mar-2012",0.0121267,0.0120523,0.0091822,0.0076643,0.0110739,0.0115222,0.094129,0.014793,13.6610,0.154685
"Apr-2012",0.0123108,0.0122200,0.0093529,0.0076921,0.0112422,0.0118934,0.095554,0.015050,13.9805,0.160803
"May-2012",0.0125506,0.0126750,0.0098130,0.0078871,0.0117879,0.0125821,0.097437,0.016212,14.5222,0.171072
"Jun-2012",0.0126077,0.0129619,0.0100539,0.0081058,0.0120742,0.0126300,0.097825,0.016158,14.6761,0.175532
"Jul-2012",0.0126657,0.0128419,0.0103204,0.0081256,0.0123944,0.0122955,0.098238,0.015861,14.4699,0.169275
"Aug-2012",0.0127033,0.0126036,0.0102413,0.0080786,0.0122999,0.0121355,0.098531,0.015686,14.3839,0.167505
"Sep-2012",0.0127978,0.0125200,0.0099339,0.0079368,0.0120125,0.0122995,0.099235,0.015613,14.3807,0.165391
"Oct-2012",0.0126563,0.0124936,0.0097558,0.0078714,0.0118009,0.0122920,0.098107,0.015442,13.9997,0.163235
"Nov-2012",0.0123309,0.0122948,0.0096055,0.0077236,0.0115758,0.0118538,0.095570,0.015052,13.4111,0.161081
"Dec-2012",0.0119518,0.0118268,0.0091160,0.0074033,0.0110193,0.0114144,0.092629,0.014367,12.8628,0.153670
"Jan-2013",0.0112262,0.0111368,0.0084408,0.0070347,0.0103716,0.0106919,0.087038,0.013413,11.9784,0.142544
"Feb-2013",0.0107527,0.0108589,0.0080584,0.0069510,0.0099068,0.0104312,0.083391,0.012828,11.6977,0.136841
"Mar-2013",0.0105491,0.0108100,0.0081404,0.0069979,0.0099836,0.0102015,0.081852,0.012740,11.6340,0.131991
"Apr-2013",0.0102327,0.0104236,0.0078576,0.0066843,0.0095851,0.0098589,0.079438,0.012072,11.4737,0.124932
"May-2013",0.0099176,0.0101133,0.0076368,0.0064859,0.0094753,0.0100097,0.076977,0.012030,11.0273,0.122041
"Jun-2013",0.0102873,0.0106095,0.0077950,0.0066401,0.0095989,0.0109013,0.079832,0.013020,11.6815,0.133354
"Jul-2013",0.0100308,0.0104345,0.0076683,0.0066124,0.0094831,0.0109630,0.077806,0.012722,11.2913,0.128002
"Aug-2013",0.0102272,0.0106448,0.0076805,0.0065935,0.0094700,0.0113119,0.079316,0.012914,11.4195,0.132167
"Sep-2013",0.0100791,0.0104240,0.0075435,0.0063467,0.0093040,0.0108358,0.078158,0.012354,10.9117,0.131583
"Oct-2013",0.0102265,0.0105982,0.0074948,0.0063532,0.0092299,0.0107458,0.079295,0.012258,10.9061,0.132875
"Nov-2013",0.0099827,0.0104735,0.0073974,0.0061971,0.0091114,0.0107205,0.077391,0.012098,10.6012,0.130403
"Dec-2013",0.0096723,0.0102905,0.0070560,0.0059051,0.0086391,0.0107661,0.074996,0.011758,10.2150,0.125822
"Jan-2014",0.0096351,0.0105436,0.0070770,0.0058512,0.0087113,0.0108837,0.074748,0.011647,10.2862,0.127418
"Feb-2014",0.0097916,0.0108247,0.0071659,0.0059144,0.0087519,0.0109134,0.075971,0.011804,10.4932,0.130169
"Mar-2014",0.0097714,0.0108533,0.0070670,0.0058787,0.0086042,0.0107532,0.075840,0.011446,10.4651,0.128922
"Apr-2014",0.0097607,0.0107281,0.0070680,0.0058289,0.0086172,0.0104805,0.075687,0.011342,10.1821,0.127561
"May-2014",0.0098222,0.0107000,0.0071518,0.0058318,0.0087265,0.0105627,0.076147,0.011420,10.0699,0.127026
"Jun-2014",0.0097982,0.0106119,0.0072074,0.0057953,0.0087774,0.0104632,0.075953,0.011367,9.9858,0.127321
"Jul-2014",0.0098261,0.0105523,0.0072631,0.0057579,0.0088256,0.0104734,0.076156,0.011316,10.0358,0.127677
"Aug-2014",0.0097124,0.0106130,0.0072970,0.0058184,0.0088377,0.0104355,0.075276,0.011519,9.9474,0.127645
"Sep-2014",0.0093104,0.0102514,0.0072233,0.0057160,0.0087239,0.0103004,0.072180,0.011450,9.6464,0.123235
"Oct-2014",0.0092570,0.0103795,0.0073020,0.0057592,0.0088203,0.0105435,0.071811,0.011754,9.8204,0.124790
"Nov-2014",0.0085943,0.0097346,0.0068908,0.0054505,0.0082867,0.0099498,0.066644,0.010971,9.4416,0.117080
"Dec-2014",0.0083806,0.0096650,0.0067979,0.0053573,0.0081736,0.0101531,0.064986,0.010794,9.2499,0.121700
"Jan-2015",0.0084591,0.0102491,0.0072868,0.0055870,0.0079604,0.0104851,0.065586,0.011087,9.2074,0.124317
"Feb-2015",0.0084211,0.0105263,0.0074200,0.0054944,0.0078842,0.0108020,0.065308,0.011301,9.2835,0.125630
"Mar-2015",0.0083052,0.0104800,0.0076786,0.0055536,0.0081378,0.0107550,0.064437,0.011137,9.2521,0.126555
"Apr-2015",0.0083656,0.0103152,0.0077377,0.0055898,0.0080314,0.0108058,0.064842,0.011015,9.0819,0.127280
"May-2015",0.0082744,0.0100805,0.0074227,0.0053584,0.0077175,0.0104989,0.064151,0.011217,9.0523,0.126492
"Jun-2015",0.0080828,0.0099950,0.0072016,0.0051904,0.0075350,0.0104777,0.062666,0.011576,9.0033,0.125129
"Jul-2015",0.0081109,0.0104336,0.0073754,0.0052138,0.0077432,0.0109618,0.062873,0.012204,9.3047,0.129359
"Aug-2015",0.0081344,0.0106965,0.0072997,0.0052230,0.0078774,0.0111539,0.063068,0.012431,9.5911,0.134725
"Sep-2015",0.0083235,0.0110429,0.0074137,0.0054274,0.0080955,0.0117947,0.064510,0.013132,9.8656,0.140180
"Oct-2015",0.0083298,0.0108890,0.0074201,0.0054298,0.0080696,0.0115714,0.064557,0.012451,9.5311,0.138044
"Nov-2015",0.0081544,0.0108290,0.0076073,0.0053687,0.0082400,0.0114065,0.063204,0.012441,9.4160,0.135599
"Dec-2015",0.0082175,0.0112629,0.0075508,0.0054847,0.0081808,0.0113421,0.063693,0.012189,9.6558,0.140227
"Jan-2016",0.0084613,0.0120355,0.0077941,0.0058832,0.0085305,0.0120849,0.065850,0.012963,10.1893,0.152961
"Feb-2016",0.0087289,0.0120410,0.0078695,0.0061111,0.0086592,0.0122353,0.067941,0.013162,10.6253,0.160906
"Mar-2016",0.0088559,0.0117123,0.0079566,0.0062136,0.0086910,0.0118052,0.068730,0.013127,10.4782,0.156187
"Apr-2016",0.0091300,0.0117033,0.0080475,0.0063777,0.0087963,0.0119154,0.070812,0.013249,10.4705,0.159623
"May-2016",0.0091812,0.0118810,0.0081184,0.0063183,0.0089766,0.0125498,0.071282,0.013495,10.7878,0.166493
"Jun-2016",0.0093610,0.0120525,0.0083068,0.0065213,0.0090829,0.0127107,0.072685,0.013409,10.9552,0.174336
